//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 5-20-2019
//--  Time: 21:5
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 180 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 90 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
203	118.90	1189 	0.991
204	118.64	1186 	0.996
205	118.37	1184 	1.001
206	118.11	1181 	1.006
207	117.85	1178 	1.011
208	117.59	1176 	1.016
209	117.33	1173 	1.021
210	117.07	1171 	1.025
211	116.81	1168 	1.030
212	116.55	1166 	1.035
213	116.30	1163 	1.040
214	116.04	1160 	1.045
215	115.79	1158 	1.050
216	115.54	1155 	1.055
217	115.29	1153 	1.060
218	115.04	1150 	1.064
219	114.79	1148 	1.069
220	114.54	1145 	1.074
221	114.29	1143 	1.079
222	114.04	1140 	1.084
223	113.80	1138 	1.089
224	113.55	1136 	1.094
225	113.31	1133 	1.099
226	113.07	1131 	1.104
227	112.82	1128 	1.108
228	112.58	1126 	1.113
229	112.34	1123 	1.118
230	112.10	1121 	1.123
231	111.87	1119 	1.128
232	111.63	1116 	1.133
233	111.39	1114 	1.138
234	111.16	1112 	1.143
235	110.92	1109 	1.147
236	110.69	1107 	1.152
237	110.45	1105 	1.157
238	110.22	1102 	1.162
239	109.99	1100 	1.167
240	109.76	1098 	1.172
241	109.53	1095 	1.177
242	109.30	1093 	1.182
243	109.07	1091 	1.187
244	108.84	1088 	1.191
245	108.62	1086 	1.196
246	108.39	1084 	1.201
247	108.17	1082 	1.206
248	107.94	1079 	1.211
249	107.72	1077 	1.216
250	107.49	1075 	1.221
251	107.27	1073 	1.226
252	107.05	1070 	1.230
253	106.83	1068 	1.235
254	106.61	1066 	1.240
255	106.39	1064 	1.245
256	106.17	1062 	1.250
257	105.95	1060 	1.255
258	105.73	1057 	1.260
259	105.52	1055 	1.265
260	105.30	1053 	1.270
261	105.09	1051 	1.274
262	104.87	1049 	1.279
263	104.66	1047 	1.284
264	104.44	1044 	1.289
265	104.23	1042 	1.294
266	104.02	1040 	1.299
267	103.81	1038 	1.304
268	103.60	1036 	1.309
269	103.38	1034 	1.313
270	103.17	1032 	1.318
271	102.97	1030 	1.323
272	102.76	1028 	1.328
273	102.55	1025 	1.333
274	102.34	1023 	1.338
275	102.13	1021 	1.343
276	101.93	1019 	1.348
277	101.72	1017 	1.353
278	101.52	1015 	1.357
279	101.31	1013 	1.362
280	101.11	1011 	1.367
281	100.91	1009 	1.372
282	100.70	1007 	1.377
283	100.50	1005 	1.382
284	100.30	1003 	1.387
285	100.10	1001 	1.392
286	99.90	999 	1.396
287	99.70	997 	1.401
288	99.50	995 	1.406
289	99.30	993 	1.411
290	99.10	991 	1.416
291	98.90	989 	1.421
292	98.70	987 	1.426
293	98.51	985 	1.431
294	98.31	983 	1.436
295	98.11	981 	1.440
296	97.92	979 	1.445
297	97.72	977 	1.450
298	97.53	975 	1.455
299	97.33	973 	1.460
300	97.14	971 	1.465
301	96.95	969 	1.470
302	96.75	968 	1.475
303	96.56	966 	1.479
304	96.37	964 	1.484
305	96.18	962 	1.489
306	95.99	960 	1.494
307	95.80	958 	1.499
308	95.61	956 	1.504
309	95.42	954 	1.509
310	95.23	952 	1.514
311	95.04	950 	1.519
312	94.85	949 	1.523
313	94.66	947 	1.528
314	94.48	945 	1.533
315	94.29	943 	1.538
316	94.10	941 	1.543
317	93.92	939 	1.548
318	93.73	937 	1.553
319	93.54	935 	1.558
320	93.36	934 	1.563
321	93.18	932 	1.567
322	92.99	930 	1.572
323	92.81	928 	1.577
324	92.62	926 	1.582
325	92.44	924 	1.587
326	92.26	923 	1.592
327	92.08	921 	1.597
328	91.89	919 	1.602
329	91.71	917 	1.606
330	91.53	915 	1.611
331	91.35	914 	1.616
332	91.17	912 	1.621
333	90.99	910 	1.626
334	90.81	908 	1.631
335	90.63	906 	1.636
336	90.45	905 	1.641
337	90.27	903 	1.646
338	90.10	901 	1.650
339	89.92	899 	1.655
340	89.74	897 	1.660
341	89.56	896 	1.665
342	89.39	894 	1.670
343	89.21	892 	1.675
344	89.03	890 	1.680
345	88.86	889 	1.685
346	88.68	887 	1.689
347	88.51	885 	1.694
348	88.33	883 	1.699
349	88.16	882 	1.704
350	87.98	880 	1.709
351	87.81	878 	1.714
352	87.63	876 	1.719
353	87.46	875 	1.724
354	87.29	873 	1.729
355	87.12	871 	1.733
356	86.94	869 	1.738
357	86.77	868 	1.743
358	86.60	866 	1.748
359	86.43	864 	1.753
360	86.26	863 	1.758
361	86.09	861 	1.763
362	85.91	859 	1.768
363	85.74	857 	1.772
364	85.57	856 	1.777
365	85.40	854 	1.782
366	85.23	852 	1.787
367	85.07	851 	1.792
368	84.90	849 	1.797
369	84.73	847 	1.802
370	84.56	846 	1.807
371	84.39	844 	1.812
372	84.22	842 	1.816
373	84.06	841 	1.821
374	83.89	839 	1.826
375	83.72	837 	1.831
376	83.55	836 	1.836
377	83.39	834 	1.841
378	83.22	832 	1.846
379	83.05	831 	1.851
380	82.89	829 	1.855
381	82.72	827 	1.860
382	82.56	826 	1.865
383	82.39	824 	1.870
384	82.23	822 	1.875
385	82.06	821 	1.880
386	81.90	819 	1.885
387	81.73	817 	1.890
388	81.57	816 	1.895
389	81.41	814 	1.899
390	81.24	812 	1.904
391	81.08	811 	1.909
392	80.92	809 	1.914
393	80.75	808 	1.919
394	80.59	806 	1.924
395	80.43	804 	1.929
396	80.27	803 	1.934
397	80.11	801 	1.938
398	79.94	799 	1.943
399	79.78	798 	1.948
400	79.62	796 	1.953
401	79.46	795 	1.958
402	79.30	793 	1.963
403	79.14	791 	1.968
404	78.98	790 	1.973
405	78.82	788 	1.978
406	78.66	787 	1.982
407	78.50	785 	1.987
408	78.34	783 	1.992
409	78.18	782 	1.997
410	78.02	780 	2.002
411	77.86	779 	2.007
412	77.70	777 	2.012
413	77.54	775 	2.017
414	77.38	774 	2.021
415	77.23	772 	2.026
416	77.07	771 	2.031
417	76.91	769 	2.036
418	76.75	768 	2.041
419	76.59	766 	2.046
420	76.44	764 	2.051
421	76.28	763 	2.056
422	76.12	761 	2.061
423	75.97	760 	2.065
424	75.81	758 	2.070
425	75.65	757 	2.075
426	75.50	755 	2.080
427	75.34	753 	2.085
428	75.18	752 	2.090
429	75.03	750 	2.095
430	74.87	749 	2.100
431	74.72	747 	2.104
432	74.56	746 	2.109
433	74.41	744 	2.114
434	74.25	743 	2.119
435	74.10	741 	2.124
436	73.94	739 	2.129
437	73.79	738 	2.134
438	73.63	736 	2.139
439	73.48	735 	2.144
440	73.32	733 	2.148
441	73.17	732 	2.153
442	73.01	730 	2.158
443	72.86	729 	2.163
444	72.71	727 	2.168
445	72.55	726 	2.173
446	72.40	724 	2.178
447	72.25	722 	2.183
448	72.09	721 	2.188
449	71.94	719 	2.192
450	71.79	718 	2.197
451	71.64	716 	2.202
452	71.48	715 	2.207
453	71.33	713 	2.212
454	71.18	712 	2.217
455	71.03	710 	2.222
456	70.87	709 	2.227
457	70.72	707 	2.231
458	70.57	706 	2.236
459	70.42	704 	2.241
460	70.27	703 	2.246
461	70.12	701 	2.251
462	69.96	700 	2.256
463	69.81	698 	2.261
464	69.66	697 	2.266
465	69.51	695 	2.271
466	69.36	694 	2.275
467	69.21	692 	2.280
468	69.06	691 	2.285
469	68.91	689 	2.290
470	68.76	688 	2.295
471	68.61	686 	2.300
472	68.46	685 	2.305
473	68.31	683 	2.310
474	68.16	682 	2.314
475	68.01	680 	2.319
476	67.86	679 	2.324
477	67.71	677 	2.329
478	67.56	676 	2.334
479	67.41	674 	2.339
480	67.26	673 	2.344
481	67.11	671 	2.349
482	66.96	670 	2.354
483	66.81	668 	2.358
484	66.66	667 	2.363
485	66.51	665 	2.368
486	66.36	664 	2.373
487	66.21	662 	2.378
488	66.07	661 	2.383
489	65.92	659 	2.388
490	65.77	658 	2.393
491	65.62	656 	2.397
492	65.47	655 	2.402
493	65.32	653 	2.407
494	65.18	652 	2.412
495	65.03	650 	2.417
496	64.88	649 	2.422
497	64.73	647 	2.427
498	64.58	646 	2.432
499	64.44	644 	2.437
500	64.29	643 	2.441
501	64.14	641 	2.446
502	63.99	640 	2.451
503	63.84	638 	2.456
504	63.70	637 	2.461
505	63.55	635 	2.466
506	63.40	634 	2.471
507	63.25	633 	2.476
508	63.11	631 	2.480
509	62.96	630 	2.485
510	62.81	628 	2.490
511	62.67	627 	2.495
512	62.52	625 	2.500
513	62.37	624 	2.505
514	62.22	622 	2.510
515	62.08	621 	2.515
516	61.93	619 	2.520
517	61.78	618 	2.524
518	61.64	616 	2.529
519	61.49	615 	2.534
520	61.34	613 	2.539
521	61.20	612 	2.544
522	61.05	610 	2.549
523	60.90	609 	2.554
524	60.76	608 	2.559
525	60.61	606 	2.563
526	60.46	605 	2.568
527	60.32	603 	2.573
528	60.17	602 	2.578
529	60.02	600 	2.583
530	59.88	599 	2.588
531	59.73	597 	2.593
532	59.59	596 	2.598
533	59.44	594 	2.603
534	59.29	593 	2.607
535	59.15	591 	2.612
536	59.00	590 	2.617
537	58.86	589 	2.622
538	58.71	587 	2.627
539	58.56	586 	2.632
540	58.42	584 	2.637
541	58.27	583 	2.642
542	58.13	581 	2.646
543	57.98	580 	2.651
544	57.83	578 	2.656
545	57.69	577 	2.661
546	57.54	575 	2.666
547	57.40	574 	2.671
548	57.25	572 	2.676
549	57.10	571 	2.681
550	56.96	570 	2.686
551	56.81	568 	2.690
552	56.67	567 	2.695
553	56.52	565 	2.700
554	56.37	564 	2.705
555	56.23	562 	2.710
556	56.08	561 	2.715
557	55.94	559 	2.720
558	55.79	558 	2.725
559	55.65	556 	2.729
560	55.50	555 	2.734
561	55.35	554 	2.739
562	55.21	552 	2.744
563	55.06	551 	2.749
564	54.92	549 	2.754
565	54.77	548 	2.759
566	54.63	546 	2.764
567	54.48	545 	2.769
568	54.33	543 	2.773
569	54.19	542 	2.778
570	54.04	540 	2.783
571	53.90	539 	2.788
572	53.75	537 	2.793
573	53.60	536 	2.798
574	53.46	535 	2.803
575	53.31	533 	2.808
576	53.17	532 	2.813
577	53.02	530 	2.817
578	52.87	529 	2.822
579	52.73	527 	2.827
580	52.58	526 	2.832
581	52.44	524 	2.837
582	52.29	523 	2.842
583	52.14	521 	2.847
584	52.00	520 	2.852
585	51.85	519 	2.856
586	51.71	517 	2.861
587	51.56	516 	2.866
588	51.41	514 	2.871
589	51.27	513 	2.876
590	51.12	511 	2.881
591	50.97	510 	2.886
592	50.83	508 	2.891
593	50.68	507 	2.896
594	50.53	505 	2.900
595	50.39	504 	2.905
596	50.24	502 	2.910
597	50.10	501 	2.915
598	49.95	499 	2.920
599	49.80	498 	2.925
600	49.66	497 	2.930
601	49.51	495 	2.935
602	49.36	494 	2.939
603	49.21	492 	2.944
604	49.07	491 	2.949
605	48.92	489 	2.954
606	48.77	488 	2.959
607	48.63	486 	2.964
608	48.48	485 	2.969
609	48.33	483 	2.974
610	48.19	482 	2.979
611	48.04	480 	2.983
612	47.89	479 	2.988
613	47.74	477 	2.993
614	47.60	476 	2.998
615	47.45	474 	3.003
616	47.30	473 	3.008
617	47.15	472 	3.013
618	47.00	470 	3.018
619	46.86	469 	3.022
620	46.71	467 	3.027
621	46.56	466 	3.032
622	46.41	464 	3.037
623	46.26	463 	3.042
624	46.12	461 	3.047
625	45.97	460 	3.052
626	45.82	458 	3.057
627	45.67	457 	3.062
628	45.52	455 	3.066
629	45.37	454 	3.071
630	45.23	452 	3.076
631	45.08	451 	3.081
632	44.93	449 	3.086
633	44.78	448 	3.091
634	44.63	446 	3.096
635	44.48	445 	3.101
636	44.33	443 	3.105
637	44.18	442 	3.110
638	44.03	440 	3.115
639	43.88	439 	3.120
640	43.73	437 	3.125
641	43.58	436 	3.130
642	43.43	434 	3.135
643	43.28	433 	3.140
644	43.13	431 	3.145
645	42.98	430 	3.149
646	42.83	428 	3.154
647	42.68	427 	3.159
648	42.53	425 	3.164
649	42.38	424 	3.169
650	42.23	422 	3.174
651	42.08	421 	3.179
652	41.93	419 	3.184
653	41.78	418 	3.188
654	41.63	416 	3.193
655	41.48	415 	3.198
656	41.33	413 	3.203
657	41.17	412 	3.208
658	41.02	410 	3.213
659	40.87	409 	3.218
660	40.72	407 	3.223
661	40.57	406 	3.228
662	40.41	404 	3.232
663	40.26	403 	3.237
664	40.11	401 	3.242
665	39.96	400 	3.247
666	39.80	398 	3.252
667	39.65	397 	3.257
668	39.50	395 	3.262
669	39.35	393 	3.267
670	39.19	392 	3.271
671	39.04	390 	3.276
672	38.89	389 	3.281
673	38.73	387 	3.286
674	38.58	386 	3.291
675	38.42	384 	3.296
676	38.27	383 	3.301
677	38.12	381 	3.306
678	37.96	380 	3.311
679	37.81	378 	3.315
680	37.65	377 	3.320
681	37.50	375 	3.325
682	37.34	373 	3.330
683	37.19	372 	3.335
684	37.03	370 	3.340
685	36.87	369 	3.345
686	36.72	367 	3.350
687	36.56	366 	3.354
688	36.41	364 	3.359
689	36.25	363 	3.364
690	36.09	361 	3.369
691	35.94	359 	3.374
692	35.78	358 	3.379
693	35.62	356 	3.384
694	35.47	355 	3.389
695	35.31	353 	3.394
696	35.15	352 	3.398
697	34.99	350 	3.403
698	34.84	348 	3.408
699	34.68	347 	3.413
700	34.52	345 	3.418
701	34.36	344 	3.423
702	34.20	342 	3.428
703	34.04	340 	3.433
704	33.88	339 	3.438
705	33.72	337 	3.442
706	33.56	336 	3.447
707	33.40	334 	3.452
708	33.24	332 	3.457
709	33.08	331 	3.462
710	32.92	329 	3.467
711	32.76	328 	3.472
712	32.60	326 	3.477
713	32.44	324 	3.481
714	32.28	323 	3.486
715	32.12	321 	3.491
716	31.96	320 	3.496
717	31.79	318 	3.501
718	31.63	316 	3.506
719	31.47	315 	3.511
720	31.31	313 	3.516
721	31.14	311 	3.521
722	30.98	310 	3.525
723	30.82	308 	3.530
724	30.65	307 	3.535
725	30.49	305 	3.540
726	30.32	303 	3.545
727	30.16	302 	3.550
728	30.00	300 	3.555
729	29.83	298 	3.560
730	29.67	297 	3.564
731	29.50	295 	3.569
732	29.33	293 	3.574
733	29.17	292 	3.579
734	29.00	290 	3.584
735	28.83	288 	3.589
736	28.67	287 	3.594
737	28.50	285 	3.599
738	28.33	283 	3.604
739	28.16	282 	3.608
740	28.00	280 	3.613
741	27.83	278 	3.618
742	27.66	277 	3.623
743	27.49	275 	3.628
744	27.32	273 	3.633
745	27.15	272 	3.638
746	26.98	270 	3.643
747	26.81	268 	3.647
748	26.64	266 	3.652
749	26.47	265 	3.657
750	26.30	263 	3.662
751	26.13	261 	3.667
752	25.96	260 	3.672
753	25.78	258 	3.677
754	25.61	256 	3.682
755	25.44	254 	3.687
756	25.26	253 	3.691
757	25.09	251 	3.696
758	24.92	249 	3.701
759	24.74	247 	3.706
760	24.57	246 	3.711
761	24.39	244 	3.716
762	24.22	242 	3.721
763	24.04	240 	3.726
764	23.87	239 	3.730
765	23.69	237 	3.735
766	23.51	235 	3.740
767	23.34	233 	3.745
768	23.16	232 	3.750
769	22.98	230 	3.755
770	22.80	228 	3.760
771	22.62	226 	3.765
772	22.45	224 	3.770
773	22.27	223 	3.774
774	22.09	221 	3.779
775	21.91	219 	3.784
776	21.73	217 	3.789
777	21.54	215 	3.794
778	21.36	214 	3.799
779	21.18	212 	3.804
780	21.00	210 	3.809
781	20.82	208 	3.813
782	20.63	206 	3.818
783	20.45	204 	3.823
784	20.26	203 	3.828
785	20.08	201 	3.833
786	19.89	199 	3.838
787	19.71	197 	3.843
788	19.52	195 	3.848
789	19.34	193 	3.853
790	19.15	192 	3.857
791	18.96	190 	3.862
792	18.78	188 	3.867
793	18.59	186 	3.872
794	18.40	184 	3.877
795	18.21	182 	3.882
796	18.02	180 	3.887
797	17.83	178 	3.892
798	17.64	176 	3.896
799	17.45	174 	3.901
800	17.25	173 	3.906
801	17.06	171 	3.911
802	16.87	169 	3.916
803	16.68	167 	3.921
804	16.48	165 	3.926
805	16.29	163 	3.931
806	16.09	161 	3.936
807	15.90	159 	3.940
808	15.70	157 	3.945
809	15.50	155 	3.950
810	15.31	153 	3.955
811	15.11	151 	3.960
812	14.91	149 	3.965
813	14.71	147 	3.970
814	14.51	145 	3.975
815	14.31	143 	3.979
816	14.11	141 	3.984
817	13.91	139 	3.989
818	13.71	137 	3.994
819	13.50	135 	3.999
820	13.30	133 	4.004
821	13.10	131 	4.009
822	12.89	129 	4.014
823	12.69	127 	4.019
824	12.48	125 	4.023
825	12.27	123 	4.028
826	12.07	121 	4.033
827	11.86	119 	4.038
828	11.65	116 	4.043
829	11.44	114 	4.048
830	11.23	112 	4.053
831	11.02	110 	4.058
832	10.81	108 	4.063
833	10.59	106 	4.067
834	10.38	104 	4.072
835	10.17	102 	4.077
836	9.95	100 	4.082
837	9.74	97 	4.087
838	9.52	95 	4.092
839	9.30	93 	4.097
840	9.09	91 	4.102
841	8.87	89 	4.106
842	8.65	86 	4.111
843	8.43	84 	4.116
844	8.21	82 	4.121
845	7.98	80 	4.126
846	7.76	78 	4.131
847	7.54	75 	4.136
848	7.31	73 	4.141
849	7.09	71 	4.146
850	6.86	69 	4.150
851	6.63	66 	4.155
852	6.41	64 	4.160
853	6.18	62 	4.165
854	5.95	59 	4.170
855	5.71	57 	4.175
856	5.48	55 	4.180
857	5.25	52 	4.185
858	5.02	50 	4.189
