#
PriLevel,SecLevel,Trigger,Sync,RefTime,MaxTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms,ms
1.0,0.0,0.0,1.0,259.88,563.544,5.36,259.88
0.0,0.0,0.0,1.0,263.748,563.544,3.868,263.748
1.0,0.0,0.0,1.0,269.084,563.544,5.336,269.084
0.0,0.0,0.0,1.0,272.968,563.544,3.884,272.968
1.0,0.0,0.0,1.0,278.52,563.544,5.552,278.52
0.0,0.0,0.0,1.0,282.56,563.544,4.04,282.56
1.0,0.0,0.0,1.0,288.58,563.544,6.02,288.58
0.0,0.0,0.0,1.0,292.852,563.544,4.272,292.852
1.0,0.0,0.0,1.0,299.668,563.544,6.816,299.668
0.0,0.0,0.0,1.0,304.252,563.544,4.584,304.252
1.0,0.0,0.0,1.0,312.436,563.544,8.184,312.436
0.0,0.0,0.0,1.0,317.476,563.544,5.04,317.476
1.0,0.0,0.0,1.0,327.464,563.544,9.988,327.464
0.0,0.0,0.0,1.0,333.512,563.544,6.048,333.512
1.0,0.0,0.0,1.0,368.164,563.544,34.652,368.164
0.0,0.0,0.0,1.0,368.212,563.544,0.048,368.212
1.0,0.0,0.0,1.0,368.228,563.544,0.016,368.228
0.0,0.0,0.0,1.0,376.456,563.544,8.228,376.456
1.0,0.0,0.0,1.0,419.792,563.544,43.336,419.792
0.0,0.0,0.0,1.0,425.332,563.544,5.54,425.332
1.0,0.0,0.0,1.0,440.82,563.544,15.488,440.82
0.0,0.0,0.0,1.0,445.568,563.544,4.748,445.568
1.0,0.0,0.0,1.0,458.436,563.544,12.868,458.436
0.0,0.0,0.0,1.0,463.232,563.544,4.796,463.232
1.0,0.0,0.0,1.0,472.704,563.544,9.472,472.704
0.0,0.0,0.0,1.0,477.084,563.544,4.38,477.084
1.0,0.0,0.0,1.0,484.104,563.544,7.02,484.104
0.0,0.0,0.0,1.0,488.08,563.544,3.976,488.08
1.0,0.0,0.0,1.0,494.076,563.544,5.996,494.076
0.0,0.0,0.0,1.0,497.86,563.544,3.784,497.86
1.0,0.0,0.0,1.0,503.468,563.544,5.608,503.468
MARK 001
0.0,0.0,0.0,1.0,3.696,563.544,-499.772,3.696
1.0,0.0,0.0,1.0,9.264,563.544,5.568,9.264
0.0,0.0,0.0,1.0,13.024,563.544,3.76,13.024
1.0,0.0,0.0,1.0,18.792,563.544,5.768,18.792
0.0,0.0,0.0,1.0,22.664,563.544,3.872,22.664
1.0,0.0,0.0,1.0,28.972,563.544,6.308,28.972
0.0,0.0,0.0,1.0,33.02,563.544,4.048,33.02
1.0,0.0,0.0,1.0,40.256,563.544,7.236,40.256
0.0,0.0,0.0,1.0,44.58,563.544,4.324,44.58
1.0,0.0,0.0,1.0,53.328,563.544,8.748,53.328
0.0,0.0,0.0,1.0,57.904,563.544,4.576,57.904
1.0,0.0,0.0,1.0,68.344,563.544,10.44,68.344
0.0,0.0,0.0,1.0,73.408,563.544,5.064,73.408
1.0,0.0,0.0,1.0,109.616,563.544,36.208,109.616
0.0,0.0,0.0,1.0,117.18,563.544,7.564,117.18
1.0,0.0,0.0,1.0,128.624,563.544,11.444,128.624
0.0,0.0,0.0,1.0,133.32,563.544,4.696,133.32
1.0,0.0,0.0,1.0,145.1,563.544,11.78,145.1
0.0,0.0,0.0,1.0,149.908,563.544,4.808,149.908
1.0,0.0,0.0,1.0,162.452,563.544,12.544,162.452
0.0,0.0,0.0,1.0,167.316,563.544,4.864,167.316
1.0,0.0,0.0,1.0,180.16,563.544,12.844,180.16
0.0,0.0,0.0,1.0,185.072,563.544,4.912,185.072
1.0,0.0,0.0,1.0,197.18,563.544,12.108,197.18
0.0,0.0,0.0,1.0,202.156,563.544,4.976,202.156
1.0,0.0,0.0,1.0,211.48,563.544,9.324,211.48
0.0,0.0,0.0,1.0,216.056,563.544,4.576,216.056
1.0,0.0,0.0,1.0,223.176,563.544,7.12,223.176
0.0,0.0,0.0,1.0,227.392,563.544,4.216,227.392
1.0,0.0,0.0,1.0,233.528,563.544,6.136,233.528
0.0,0.0,0.0,1.0,237.572,563.544,4.044,237.572
1.0,0.0,0.0,1.0,243.372,563.544,5.8,243.372
0.0,0.0,0.0,1.0,247.384,563.544,4.012,247.384
1.0,0.0,0.0,1.0,253.204,563.544,5.82,253.204
0.0,0.0,0.0,1.0,257.276,563.544,4.072,257.276
1.0,0.0,0.0,1.0,263.384,563.544,6.108,263.384
0.0,0.0,0.0,1.0,267.64,563.544,4.256,267.64
1.0,0.0,0.0,1.0,274.424,563.544,6.784,274.424
0.0,0.0,0.0,1.0,278.964,563.544,4.54,278.964
1.0,0.0,0.0,1.0,286.9,563.544,7.936,286.9
0.0,0.0,0.0,1.0,291.812,563.544,4.912,291.812
1.0,0.0,0.0,1.0,301.76,563.544,9.948,301.76
0.0,0.0,0.0,1.0,306.864,563.544,5.104,306.864
1.0,0.0,0.0,1.0,315.564,563.544,8.7,315.564
0.0,0.0,0.0,1.0,322.08,563.544,6.516,322.08
1.0,0.0,0.0,1.0,356.484,563.544,34.404,356.484
0.0,0.0,0.0,1.0,364.636,563.544,8.152,364.636
1.0,0.0,0.0,1.0,406.18,563.544,41.544,406.18
0.0,0.0,0.0,1.0,412.212,563.544,6.032,412.212
1.0,0.0,0.0,1.0,426.74,563.544,14.528,426.74
0.0,0.0,0.0,1.0,431.44,563.544,4.7,431.44
1.0,0.0,0.0,1.0,443.52,563.544,12.08,443.52
0.0,0.0,0.0,1.0,448.3,563.544,4.78,448.3
1.0,0.0,0.0,1.0,457.78,563.544,9.48,457.78
0.0,0.0,0.0,1.0,462.224,563.544,4.444,462.224
1.0,0.0,0.0,1.0,469.656,563.544,7.432,469.656
0.0,0.0,0.0,1.0,473.764,563.544,4.108,473.764
1.0,0.0,0.0,1.0,480.272,563.544,6.508,480.272
0.0,0.0,0.0,1.0,484.224,563.544,3.952,484.224
1.0,0.0,0.0,1.0,490.3,563.544,6.076,490.3
0.0,0.0,0.0,1.0,494.324,563.544,4.024,494.324
1.0,0.0,0.0,1.0,500.664,563.544,6.34,500.664
0.0,0.0,0.0,1.0,504.656,563.544,3.992,504.656
1.0,0.0,0.0,1.0,511.432,563.544,6.776,511.432
MARK 002
