//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 11-12-2018
//--  Time: 12:34
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: 0.0(C), 	Resistance 1: 5800.0 Ohms 
//--    Temperature2: 80.0(C), 	Resistance 2: 320.0 Ohms 
//--    Temperature3: 100.0(C), 	Resistance 3: 180.0 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
204	138.16	1382 	0.996
205	137.82	1378 	1.001
206	137.49	1375 	1.006
207	137.16	1372 	1.011
208	136.83	1368 	1.016
209	136.50	1365 	1.021
210	136.18	1362 	1.025
211	135.85	1359 	1.030
212	135.53	1355 	1.035
213	135.21	1352 	1.040
214	134.89	1349 	1.045
215	134.57	1346 	1.050
216	134.25	1342 	1.055
217	133.93	1339 	1.060
218	133.62	1336 	1.064
219	133.30	1333 	1.069
220	132.99	1330 	1.074
221	132.68	1327 	1.079
222	132.37	1324 	1.084
223	132.06	1321 	1.089
224	131.75	1318 	1.094
225	131.45	1314 	1.099
226	131.14	1311 	1.104
227	130.84	1308 	1.108
228	130.53	1305 	1.113
229	130.23	1302 	1.118
230	129.93	1299 	1.123
231	129.63	1296 	1.128
232	129.33	1293 	1.133
233	129.04	1290 	1.138
234	128.74	1287 	1.143
235	128.45	1284 	1.147
236	128.15	1282 	1.152
237	127.86	1279 	1.157
238	127.57	1276 	1.162
239	127.28	1273 	1.167
240	126.99	1270 	1.172
241	126.70	1267 	1.177
242	126.41	1264 	1.182
243	126.13	1261 	1.187
244	125.84	1258 	1.191
245	125.56	1256 	1.196
246	125.27	1253 	1.201
247	124.99	1250 	1.206
248	124.71	1247 	1.211
249	124.43	1244 	1.216
250	124.15	1241 	1.221
251	123.87	1239 	1.226
252	123.59	1236 	1.230
253	123.32	1233 	1.235
254	123.04	1230 	1.240
255	122.77	1228 	1.245
256	122.49	1225 	1.250
257	122.22	1222 	1.255
258	121.95	1219 	1.260
259	121.68	1217 	1.265
260	121.41	1214 	1.270
261	121.14	1211 	1.274
262	120.87	1209 	1.279
263	120.60	1206 	1.284
264	120.33	1203 	1.289
265	120.07	1201 	1.294
266	119.80	1198 	1.299
267	119.54	1195 	1.304
268	119.27	1193 	1.309
269	119.01	1190 	1.313
270	118.75	1187 	1.318
271	118.49	1185 	1.323
272	118.23	1182 	1.328
273	117.97	1180 	1.333
274	117.71	1177 	1.338
275	117.45	1175 	1.343
276	117.19	1172 	1.348
277	116.94	1169 	1.353
278	116.68	1167 	1.357
279	116.43	1164 	1.362
280	116.17	1162 	1.367
281	115.92	1159 	1.372
282	115.66	1157 	1.377
283	115.41	1154 	1.382
284	115.16	1152 	1.387
285	114.91	1149 	1.392
286	114.66	1147 	1.396
287	114.41	1144 	1.401
288	114.16	1142 	1.406
289	113.91	1139 	1.411
290	113.67	1137 	1.416
291	113.42	1134 	1.421
292	113.17	1132 	1.426
293	112.93	1129 	1.431
294	112.68	1127 	1.436
295	112.44	1124 	1.440
296	112.20	1122 	1.445
297	111.95	1120 	1.450
298	111.71	1117 	1.455
299	111.47	1115 	1.460
300	111.23	1112 	1.465
301	110.99	1110 	1.470
302	110.75	1107 	1.475
303	110.51	1105 	1.479
304	110.27	1103 	1.484
305	110.03	1100 	1.489
306	109.80	1098 	1.494
307	109.56	1096 	1.499
308	109.32	1093 	1.504
309	109.09	1091 	1.509
310	108.85	1089 	1.514
311	108.62	1086 	1.519
312	108.39	1084 	1.523
313	108.15	1082 	1.528
314	107.92	1079 	1.533
315	107.69	1077 	1.538
316	107.46	1075 	1.543
317	107.23	1072 	1.548
318	106.99	1070 	1.553
319	106.76	1068 	1.558
320	106.54	1065 	1.563
321	106.31	1063 	1.567
322	106.08	1061 	1.572
323	105.85	1059 	1.577
324	105.62	1056 	1.582
325	105.40	1054 	1.587
326	105.17	1052 	1.592
327	104.94	1049 	1.597
328	104.72	1047 	1.602
329	104.49	1045 	1.606
330	104.27	1043 	1.611
331	104.05	1040 	1.616
332	103.82	1038 	1.621
333	103.60	1036 	1.626
334	103.38	1034 	1.631
335	103.15	1032 	1.636
336	102.93	1029 	1.641
337	102.71	1027 	1.646
338	102.49	1025 	1.650
339	102.27	1023 	1.655
340	102.05	1021 	1.660
341	101.83	1018 	1.665
342	101.61	1016 	1.670
343	101.40	1014 	1.675
344	101.18	1012 	1.680
345	100.96	1010 	1.685
346	100.74	1007 	1.689
347	100.53	1005 	1.694
348	100.31	1003 	1.699
349	100.09	1001 	1.704
350	99.88	999 	1.709
351	99.66	997 	1.714
352	99.45	994 	1.719
353	99.23	992 	1.724
354	99.02	990 	1.729
355	98.81	988 	1.733
356	98.59	986 	1.738
357	98.38	984 	1.743
358	98.17	982 	1.748
359	97.96	980 	1.753
360	97.75	977 	1.758
361	97.54	975 	1.763
362	97.33	973 	1.768
363	97.12	971 	1.772
364	96.91	969 	1.777
365	96.70	967 	1.782
366	96.49	965 	1.787
367	96.28	963 	1.792
368	96.07	961 	1.797
369	95.86	959 	1.802
370	95.65	957 	1.807
371	95.45	954 	1.812
372	95.24	952 	1.816
373	95.03	950 	1.821
374	94.83	948 	1.826
